id,name,alt,path
821,Professor-and-student-at-blackboard-ActuarialScience-AcademicAndCreative,Professor and student at blackboard-ActuarialScience-AcademicAndCreative,Images/900x675-infoboxes/Professor-and-student-at-blackboard-ActuarialScience-AcademicAndCreative.jpg
822,PsyD-Students,PsyD Students,Images/900x675-infoboxes/PsyD-Students.jpg
823,purpose-counsel,purpose counsling,Images/900x675-infoboxes/purpose-counsel.jpg
824,rachel-popa,Rachel Popa,Images/900x675-infoboxes/rachel-popa.jpg
825,Review-Website-Infobox,Roosevelt Review Fall 2020,Images/900x675-infoboxes/Review-Website-Infobox.jpg
826,roomandboard18-19,"2018-19 estimated Room & Board: $13,750",Images/900x675-infoboxes/roomandboard18-19.png
827,Roosevelt-flag-Infobox,Roosevelt flag,Images/900x675-infoboxes/Roosevelt-flag-Infobox.jpg
828,roshni-patel-infobox,Roshni Patel,Images/900x675-infoboxes/roshni-patel-infobox.jpg
829,RU_Infobox_ACBSP17-18-graph_900x675,2018 - 2019 ACBSP Accredited Program Graduates: BSBA: 127; MSA: 25; MSAF: 7; MBA: 95; MSHRM: 27; MSRE: 17,Images/900x675-infoboxes/RU_Infobox_ACBSP17-18-graph_900x675.png
830,RU_Infobox_ADC_2019_900x675,The American Dream Reconsidered Conference - September 9 - 13,Images/900x675-infoboxes/RU_Infobox_ADC_2019_900x675.jpg
831,RU_Infobox_ATRU_CEO_900x675,Rich Regan - CEO of the Auditorium Theatre of Roosevelt University,Images/900x675-infoboxes/RU_Infobox_ATRU_CEO_900x675.jpg
832,RU_Web_AboutUs_FactsAndFigures10,"4,457 total students",Images/900x675-infoboxes/RU_Web_AboutUs_FactsAndFigures10.jpg
833,RU_Web_AboutUs_FactsAndFigures11,more than 120 degree programs,Images/900x675-infoboxes/RU_Web_AboutUs_FactsAndFigures11.jpg
834,RU_Web_AboutUs_FactsAndFigures8,50+ student organizations,Images/900x675-infoboxes/RU_Web_AboutUs_FactsAndFigures8.jpg
835,RU_Web_Home_Infobox_RooseveltReview_900x675,Roosevelt Review alumni magazine Spring 2018 cover,Images/900x675-infoboxes/RU_Web_Home_Infobox_RooseveltReview_900x675.jpg
836,RU_Web_InfoBox_FacultyAwards2018_900x675,2018 Roosevelt Faculty Award recipients,Images/900x675-infoboxes/RU_Web_InfoBox_FacultyAwards2018_900x675.jpg
837,RU_WebHome_Infobox_2018MBIRE-Gala-900x675,Real Estate Gala 2018,Images/900x675-infoboxes/RU_WebHome_Infobox_2018MBIRE-Gala-900x675.jpg
